countryName_,year_,value_Usd_,status_,continent_
Argentina,1975,450000000.00,Normal value,South America
Argentina,1976,806000000.00,Normal value,South America
Argentina,1977,239000000.00,Normal value,South America
Argentina,1978,352000000.00,Normal value,South America
Argentina,1979,1471500000.00,Normal value,South America
Argentina,1980,1115000000.00,Normal value,South America
Argentina,1981,184050000.00,Normal value,South America
Argentina,1982,242900000.00,Normal value,South America
Argentina,1983,175700000.00,Normal value,South America
Argentina,1984,253300000.00,Normal value,South America
Argentina,1985,474410000.00,Normal value,South America
Argentina,1986,239220000.00,Normal value,South America
Argentina,1987,143980000.00,Normal value,South America
Argentina,1988,4272730000.00,Normal value,South America
Argentina,1989,396070000.00,Normal value,South America
Argentina,1990,800770000.00,Normal value,South America
Argentina,1991,4548690000.00,Normal value,South America
Argentina,1992,15738610000.00,Normal value,South America
Argentina,1993,49764530000.00,Normal value,South America
Argentina,1994,112828000000.00,Normal value,South America
Argentina,1995,31903600000.00,Normal value,South America
Argentina,1996,31303500000.00,Normal value,South America
Argentina,1997,38206640000.00,Normal value,South America
Argentina,1998,26064460000.00,Normal value,South America
Argentina,1999,11862190000.00,Normal value,South America
Argentina,2000,9145630000.00,Normal value,South America
Argentina,2001,6662000000.00,Normal value,South America
Argentina,2002,1168610000.00,Normal value,South America
Argentina,2003,2929510000.00,Normal value,South America
Argentina,2004,4551450000.00,Normal value,South America
Argentina,2005,5257770000.00,Normal value,South America
Argentina,2006,3387990000.00,Normal value,South America
Argentina,2007,4845000000.00,Normal value,South America
Argentina,2008,3337600000.00,Normal value,South America
Argentina,2009,1510580000.00,Normal value,South America
Argentina,2010,2544790000.00,Normal value,South America
Argentina,2011,2454310000.00,Normal value,South America
Argentina,2012,1462140000.00,Normal value,South America
Argentina,2013,2237310000.00,Normal value,South America
Argentina,2014,3522520000.00,Normal value,South America
Argentina,2015,2699820000.00,Normal value,South America
Argentina,2016,4360745593.33,Normal value,South America
Argentina,2017,6592777693.45,Normal value,South America
Argentina,2018,4571170000.00,Normal value,South America
Argentina,2019,2983330000.00,Normal value,South America
Argentina,2020,2849900000.00,Normal value,South America
Argentina,2021,2619420000.00,Normal value,South America
Argentina,2022,7960630000.00,Normal value,South America
Argentina,2023,1158650000.00,Normal value,South America
Armenia,2018,20000.00,Normal value,Asia
Armenia,2019,80000.00,Normal value,Asia
Armenia,2021,370000.00,Normal value,Asia
Armenia,2022,2440000.00,Normal value,Asia
Armenia,2023,6920000.00,Normal value,Asia
Armenia,2024,2120000.00,Normal value,Asia
Australia,1975,1171000000.00,Normal value,Oceania
Australia,1976,1340000000.00,Normal value,Oceania
Australia,1977,1483000000.00,Normal value,Oceania
Australia,1978,883000000.00,Normal value,Oceania
Australia,1979,2005310000.00,Normal value,Oceania
Australia,1980,4948400000.00,Normal value,Oceania
Australia,1981,7788180000.00,Normal value,Oceania
Australia,1982,4921550000.00,Normal value,Oceania
Australia,1983,9334800000.00,Normal value,Oceania
Australia,1984,10108440000.00,Normal value,Oceania
Australia,1985,15263050000.00,Normal value,Oceania
Australia,1986,22661000000.00,Normal value,Oceania
Australia,1987,57498550000.00,Normal value,Oceania
Australia,1988,40964150000.00,Normal value,Oceania
Australia,1989,43548950000.00,Normal value,Oceania
Australia,1990,40186100000.00,Normal value,Oceania
Australia,1991,45671250000.00,Normal value,Oceania
Australia,1992,42055310000.00,Normal value,Oceania
Australia,1993,66719950000.00,Normal value,Oceania
Australia,1994,99588430000.00,Normal value,Oceania
Australia,1995,98197350000.00,Normal value,Oceania
Australia,1996,144964000000.00,Normal value,Oceania
Australia,1997,150211750000.00,Normal value,Oceania
Australia,1998,155533610000.00,Normal value,Oceania
Australia,1999,198808400000.00,Normal value,Oceania
Australia,2000,213223310000.00,Normal value,Oceania
Australia,2001,240570260000.00,Normal value,Oceania
Australia,2002,290946000000.00,Normal value,Oceania
Australia,2003,421669680000.00,Normal value,Oceania
Australia,2004,544922320000.00,Normal value,Oceania
Australia,2005,612669600000.00,Normal value,Oceania
Australia,2006,858943720000.00,Normal value,Oceania
Australia,2007,1373259640000.00,Normal value,Oceania
Australia,2008,839733940000.00,Normal value,Oceania
Australia,2009,841481100000.00,Normal value,Oceania
Australia,2010,1131337350000.00,Normal value,Oceania
Australia,2011,1128482900000.00,Normal value,Oceania
Australia,2012,905665740000.00,Normal value,Oceania
Australia,2013,787881310000.00,Normal value,Oceania
Australia,2014,703485810000.00,Normal value,Oceania
Australia,2015,750636340000.00,Normal value,Oceania
Australia,2016,794977154799.65,Normal value,Oceania
Australia,2017,842771714903.79,Normal value,Oceania
Australia,2018,774026910000.00,Normal value,Oceania
Australia,2019,834226020000.00,Normal value,Oceania
Australia,2020,1226164220000.00,Normal value,Oceania
Australia,2021,1068194840000.00,Normal value,Oceania
Australia,2022,1089439990000.00,Normal value,Oceania
Australia,2023,897713900000.00,Normal value,Oceania
Australia,2024,845272170000.00,Normal value,Oceania
Austria,1975,67000000.00,Normal value,Europe
Austria,1976,96000000.00,Normal value,Europe
Austria,1977,74000000.00,Normal value,Europe
Austria,1978,85000000.00,Normal value,Europe
Austria,1979,91200000.00,Normal value,Europe
Austria,1980,105300000.00,Normal value,Europe
Austria,1981,84300000.00,Normal value,Europe
Austria,1982,73100000.00,Normal value,Europe
Austria,1983,132600000.00,Normal value,Europe
Austria,1984,113400000.00,Normal value,Europe
Austria,1985,801730000.00,Normal value,Europe
Austria,1986,1195600000.00,Normal value,Europe
Austria,1987,1383730000.00,Normal value,Europe
Austria,1988,1989650000.00,Normal value,Europe
Austria,1989,26209560000.00,Normal value,Europe
Austria,1990,57671350000.00,Normal value,Europe
Austria,1991,7685860000.00,Normal value,Europe
Austria,1992,4757560000.00,Normal value,Europe
Austria,1993,6586150000.00,Normal value,Europe
Austria,1994,8772950000.00,Normal value,Europe
Austria,1995,13000810000.00,Normal value,Europe
Austria,1996,10338400000.00,Normal value,Europe
Austria,1997,12071580000.00,Normal value,Europe
Austria,1998,18056390000.00,Normal value,Europe
Austria,1999,11813170000.00,Normal value,Europe
Austria,2000,9665760000.00,Normal value,Europe
Austria,2001,7313690000.00,Normal value,Europe
Austria,2002,6507290000.00,Normal value,Europe
Austria,2003,12035820000.00,Normal value,Europe
Austria,2004,25927690000.00,Normal value,Europe
Austria,2005,43328140000.00,Normal value,Europe
Austria,2006,82970200000.00,Normal value,Europe
Austria,2007,129135230000.00,Normal value,Europe
Austria,2008,98137240000.00,Normal value,Europe
Austria,2009,51509760000.00,Normal value,Europe
Austria,2010,48838610000.00,Normal value,Europe
Austria,2011,38787870000.00,Normal value,Europe
Austria,2012,23639550000.00,Normal value,Europe
Austria,2013,26528040000.00,Normal value,Europe
Austria,2014,28719260000.00,Normal value,Europe
Austria,2015,31732950000.00,Normal value,Europe
Austria,2016,26552486712.22,Normal value,Europe
Austria,2017,39986893431.86,Normal value,Europe
Austria,2018,39431840000.00,Normal value,Europe
Austria,2019,33479930000.00,Normal value,Europe
Austria,2020,39779610000.00,Normal value,Europe
Austria,2021,35245190000.00,Normal value,Europe
Austria,2022,37394110000.00,Normal value,Europe
Austria,2023,29571080000.00,Normal value,Europe
Austria,2024,30204030000.00,Normal value,Europe
Azerbaijan,2019,1980000.00,Normal value,Asia
Azerbaijan,2020,17620000.00,Normal value,Asia
Azerbaijan,2021,7290000.00,Normal value,Asia
Azerbaijan,2022,2280000.00,Normal value,Asia
Azerbaijan,2023,2760000.00,Normal value,Asia
Azerbaijan,2024,7150000.00,Normal value,Asia
Bahrain,1994,160200000.00,Normal value,Asia
Bahrain,1995,106100000.00,Normal value,Asia
Bahrain,1996,176700000.00,Normal value,Asia
Bahrain,1997,479500000.00,Normal value,Asia
Bahrain,1998,576390000.00,Normal value,Asia
Bahrain,1999,445390000.00,Normal value,Asia
Bahrain,2000,245440000.00,Normal value,Asia
Bahrain,2001,191500000.00,Normal value,Asia
Bahrain,2002,215000000.00,Normal value,Asia
Bahrain,2003,266730000.00,Normal value,Asia
Bahrain,2004,311640000.00,Normal value,Asia
Bahrain,2005,702290000.00,Normal value,Asia
Bahrain,2006,1381120000.00,Normal value,Asia
Bahrain,2007,1044720000.00,Normal value,Asia
Bahrain,2008,2083620000.00,Normal value,Asia
Bahrain,2009,466280000.00,Normal value,Asia
Bahrain,2010,287560000.00,Normal value,Asia
Bahrain,2011,156130000.00,Normal value,Asia
Bahrain,2012,278400000.00,Normal value,Asia
Bahrain,2013,604600000.00,Normal value,Asia
Bahrain,2014,717800000.00,Normal value,Asia
Bahrain,2015,294040000.00,Normal value,Asia
Bahrain,2016,332914102.22,Normal value,Asia
Bahrain,2017,562999038.22,Normal value,Asia
Bahrain,2018,969890000.00,Normal value,Asia
Bahrain,2019,759730000.00,Normal value,Asia
Bahrain,2020,592970000.00,Normal value,Asia
Bahrain,2021,559100000.00,Normal value,Asia
Bahrain,2022,430980000.00,Normal value,Asia
Bahrain,2023,516230000.00,Normal value,Asia
Bahrain,2024,801700000.00,Normal value,Asia
Bangladesh,1993,14800000.00,Normal value,Asia
Bangladesh,1994,107700000.00,Normal value,Asia
Bangladesh,1995,150060000.00,Normal value,Asia
Bangladesh,1996,852940000.00,Normal value,Asia
Bangladesh,1997,569150000.00,Normal value,Asia
Bangladesh,1998,1008800000.00,Normal value,Asia
Bangladesh,1999,968390000.00,Normal value,Asia
Bangladesh,2000,935530000.00,Normal value,Asia
Bangladesh,2001,261100000.00,Normal value,Asia
Bangladesh,2004,248100000.00,Normal value,Asia
Bangladesh,2005,205560000.00,Normal value,Asia
Bangladesh,2006,236490000.00,Normal value,Asia
Bangladesh,2007,707840000.00,Normal value,Asia
Bangladesh,2008,1461690000.00,Normal value,Asia
Bangladesh,2009,2339290000.00,Normal value,Asia
Bangladesh,2010,4837590000.00,Normal value,Asia
Bangladesh,2011,2224437040.00,Normal value,Asia
Bangladesh,2012,1443100000.00,Normal value,Asia
Bangladesh,2013,1235919200.00,Normal value,Asia
Bangladesh,2014,15809430000.00,Normal value,Asia
Bangladesh,2015,13612290000.00,Normal value,Asia
Bangladesh,2016,15320840000.00,Normal value,Asia
Bangladesh,2017,26503040000.00,Normal value,Asia
Bangladesh,2018,16142130000.00,Normal value,Asia
Bangladesh,2019,13126870000.00,Normal value,Asia
Bangladesh,2020,15808310000.00,Normal value,Asia
Bangladesh,2021,42086540000.00,Normal value,Asia
Bangladesh,2022,23161230000.00,Normal value,Asia
Bangladesh,2023,13326360000.00,Normal value,Asia
Bangladesh,2024,12784490000.00,Normal value,Asia
Barbados,1993,4400000.00,Normal value,North America
Barbados,1994,5700000.00,Normal value,North America
Barbados,1995,3110000.00,Normal value,North America
Barbados,1996,6160000.00,Normal value,North America
Barbados,1997,23170000.00,Normal value,North America
Barbados,1998,31830000.00,Normal value,North America
