Country Name,Year,Value (USD),Status
Arab World,2006,1585736810000.0,Normal value
Arab World,2010,306924930000.0,Normal value
Arab World,2011,379205990000.0,Normal value
Arab World,2012,598463770000.0,Normal value
Arab World,2014,807147637737.544,Normal value
Arab World,2015,571497110000.0,Normal value
Arab World,2016,394787195574.2258,Normal value
Arab World,2017,305898911004.86194,Normal value
Arab World,2018,299187770000.0,Normal value
Arab World,2019,286123480000.0,Normal value
Arab World,2020,601878560000.0,Normal value
Arab World,2021,815319270000.0,Normal value
Arab World,2022,700896400000.0,Normal value
Arab World,2023,549659330000.0,Normal value
Arab World,2024,699537890000.0,Normal value
Argentina,1975,450000000.0,Normal value
Argentina,1976,806000000.0,Normal value
Argentina,1977,239000000.0,Normal value
Argentina,1978,352000000.0,Normal value
Argentina,1979,1471500000.0,Normal value
Argentina,1980,1115000000.0,Normal value
Argentina,1981,184050000.0,Normal value
Argentina,1982,242900000.0,Normal value
Argentina,1983,175700000.0,Normal value
Argentina,1984,253300000.0,Normal value
Argentina,1985,474410000.0,Normal value
Argentina,1986,239220000.0,Normal value
Argentina,1987,143980000.0,Normal value
Argentina,1988,4272730000.0,Normal value
Argentina,1989,396070000.0,Normal value
Argentina,1990,800770000.0,Normal value
Argentina,1991,4548690000.0,Normal value
Argentina,1992,15738610000.0,Normal value
Argentina,1993,49764530000.0,Normal value
Argentina,1994,112828000000.0,Normal value
Argentina,1995,31903600000.0,Normal value
Argentina,1996,31303500000.0,Normal value
Argentina,1997,38206640000.0,Normal value
Argentina,1998,26064460000.0,Normal value
Argentina,1999,11862190000.0,Normal value
Argentina,2000,9145630000.0,Normal value
Argentina,2001,6662000000.0,Normal value
Argentina,2002,1168610000.0,Normal value
Argentina,2003,2929510000.0,Normal value
Argentina,2004,4551450000.0,Normal value
Argentina,2005,5257770000.0,Normal value
Argentina,2006,3387990000.0,Normal value
Argentina,2007,4845000000.0,Normal value
Argentina,2008,3337600000.0,Normal value
Argentina,2009,1510580000.0,Normal value
Argentina,2010,2544790000.0,Normal value
Argentina,2011,2454310000.0,Normal value
Argentina,2012,1462140000.0,Normal value
Argentina,2013,2237310000.0,Normal value
Argentina,2014,3522520000.0,Normal value
Argentina,2015,2699820000.0,Normal value
Argentina,2016,4360745593.33447,Normal value
Argentina,2017,6592777693.4465,Normal value
Argentina,2018,4571170000.0,Normal value
Argentina,2019,2983330000.0,Normal value
Argentina,2020,2849900000.0,Normal value
Argentina,2021,2619420000.0,Normal value
Argentina,2022,7960630000.0,Normal value
Argentina,2023,1158650000.0,Normal value
Armenia,2018,20000.0,Normal value
Armenia,2019,80000.0,Normal value
Armenia,2021,370000.0,Normal value
Armenia,2022,2440000.0,Normal value
Armenia,2023,6920000.0,Normal value
Armenia,2024,2120000.0,Normal value
Australia,1975,1171000000.0,Normal value
Australia,1976,1340000000.0,Normal value
Australia,1977,1483000000.0,Normal value
Australia,1978,883000000.0,Normal value
Australia,1979,2005310000.0,Normal value
Australia,1980,4948400000.0,Normal value
Australia,1981,7788180000.0,Normal value
Australia,1982,4921550000.0,Normal value
Australia,1983,9334800000.0,Normal value
Australia,1984,10108440000.0,Normal value
Australia,1985,15263050000.0,Normal value
Australia,1986,22661000000.0,Normal value
Australia,1987,57498550000.0,Normal value
Australia,1988,40964150000.0,Normal value
Australia,1989,43548950000.0,Normal value
Australia,1990,40186100000.0,Normal value
Australia,1991,45671250000.0,Normal value
Australia,1992,42055310000.0,Normal value
Australia,1993,66719950000.0,Normal value
Australia,1994,99588430000.0,Normal value
Australia,1995,98197350000.0,Normal value
Australia,1996,144964000000.0,Normal value
Australia,1997,150211750000.0,Normal value
Australia,1998,155533610000.0,Normal value
Australia,1999,198808400000.0,Normal value
Australia,2000,213223310000.0,Normal value
Australia,2001,240570260000.0,Normal value
Australia,2002,290946000000.0,Normal value
Australia,2003,421669680000.0,Normal value
Australia,2004,544922320000.0,Normal value
Australia,2005,612669600000.0,Normal value
Australia,2006,858943720000.0,Normal value
Australia,2007,1373259640000.0,Normal value
Australia,2008,839733940000.0,Normal value
Australia,2009,841481100000.0,Normal value
Australia,2010,1131337350000.0,Normal value
Australia,2011,1128482900000.0,Normal value
Australia,2012,905665740000.0,Normal value
Australia,2013,787881310000.0,Normal value
Australia,2014,703485810000.0,Normal value
Australia,2015,750636340000.0,Normal value
Australia,2016,794977154799.654,Normal value
Australia,2017,842771714903.792,Normal value
Australia,2018,774026910000.0,Normal value
Australia,2019,834226020000.0,Normal value
Australia,2020,1226164220000.0,Normal value
Australia,2021,1068194840000.0,Normal value
Australia,2022,1089439990000.0,Normal value
Australia,2023,897713900000.0,Normal value
Australia,2024,845272170000.0,Normal value
Austria,1975,67000000.0,Normal value
Austria,1976,96000000.0,Normal value
Austria,1977,74000000.0,Normal value
Austria,1978,85000000.0,Normal value
Austria,1979,91200000.0,Normal value
Austria,1980,105300000.0,Normal value
Austria,1981,84300000.0,Normal value
Austria,1982,73100000.0,Normal value
Austria,1983,132600000.0,Normal value
Austria,1984,113400000.0,Normal value
Austria,1985,801730000.0,Normal value
Austria,1986,1195600000.0,Normal value
Austria,1987,1383730000.0,Normal value
Austria,1988,1989650000.0,Normal value
Austria,1989,26209560000.0,Normal value
Austria,1990,57671350000.0,Normal value
Austria,1991,7685860000.0,Normal value
Austria,1992,4757560000.0,Normal value
Austria,1993,6586150000.0,Normal value
Austria,1994,8772950000.0,Normal value
Austria,1995,13000810000.0,Normal value
Austria,1996,10338400000.0,Normal value
Austria,1997,12071580000.0,Normal value
Austria,1998,18056390000.0,Normal value
Austria,1999,11813170000.0,Normal value
Austria,2000,9665760000.0,Normal value
Austria,2001,7313690000.0,Normal value
Austria,2002,6507290000.0,Normal value
Austria,2003,12035820000.0,Normal value
Austria,2004,25927690000.0,Normal value
Austria,2005,43328140000.0,Normal value
Austria,2006,82970200000.0,Normal value
Austria,2007,129135230000.0,Normal value
Austria,2008,98137240000.0,Normal value
Austria,2009,51509760000.0,Normal value
Austria,2010,48838610000.0,Normal value
Austria,2011,38787870000.0,Normal value
Austria,2012,23639550000.0,Normal value
Austria,2013,26528040000.0,Normal value
Austria,2014,28719260000.0,Normal value
